Account,date_ist,trades,close_trades,realized_pnl,win_trades,avg_notional,med_notional,p90_notional,avg_fee_bps,long_ratio,sentiment_value,sentiment_class,sentiment_2,win_rate,cum_pnl,peak_cum_pnl,drawdown
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,461,139,-327505.900056,12,14819.601279826464,3203.0,38403.05,1.2928350126540111,0.30151843817787416,74.0,Greed,GREED,0.08633093525179857,-327505.900056,-327505.900056,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-20,3347,1588,1914417.963781,1356,16346.765482521661,1026.22,37499.798,0.8624053551912908,0.4672841350463101,49.0,Neutral,UNKNOWN,0.853904282115869,1586912.0637250002,1586912.0637250002,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,316,167,20039.581304,167,2500.7734810126585,696.27,5297.615,1.9058050020870798,0.45569620253164556,74.0,Greed,GREED,1.0,20039.581304,20039.581304,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-20,3513,1914,17123.093828,1530,1697.5999402220325,510.97,3086.3100000000004,2.642767651893394,0.4332479362368346,49.0,Neutral,UNKNOWN,0.799373040752351,37162.675132000004,37162.675132000004,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,3413,2059,10118.195127,1506,1536.3431204219162,401.03,3000.022,1.9034282914167289,0.4037503662467038,,,,0.7314230208839242,47280.870259,47280.870259,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,5,2,-1.0,0,6070.2,5760.81,11219.426,3.35999114246446,0.4,50.0,Neutral,UNKNOWN,0.0,-1.0,-1.0,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,5,4,1793.1602149999999,4,31941.660000000003,26912.75,67299.56000000001,2.8799965292895804,0.6,74.0,Greed,GREED,1.0,1792.1602149999999,1792.1602149999999,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-20,1125,531,29939.616088,484,10803.079564444444,1369.96,29999.802,2.149091418038716,0.44622222222222224,49.0,Neutral,UNKNOWN,0.911487758945386,31731.776303,31731.776303,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,2623,1041,-101722.337709,637,8077.373332062524,1018.32,16268.630000000001,2.142551375745786,0.39344262295081966,,,,0.611911623439001,-69990.561406,31731.776303,-101722.33770899998
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,6468,3460,121487.258495,2870,483.21127087198516,108.765,1193.4650000000001,5.035235108471274,0.4769635126777984,74.0,Greed,GREED,0.8294797687861272,121487.258495,121487.258495,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-20,6790,3278,10435.095669,2940,533.4245905743741,170.81,1185.525,3.9830775577767144,0.5306332842415317,49.0,Neutral,UNKNOWN,0.896888346552776,131922.354164,131922.354164,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,45,32,149.33286900000002,26,97.98177777777778,73.75,240.76000000000005,3.422045660333894,0.15555555555555556,,,,0.8125,132071.687033,132071.687033,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,755,455,52094.417678,359,2951.092675496689,1084.93,6634.856000000001,3.261561641396427,0.3973509933774834,74.0,Greed,GREED,0.789010989010989,52094.417678,52094.417678,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-20,2433,1595,115606.721793,1315,3211.665647348952,910.49,5861.556000000002,2.7662921732960006,0.3444307439375257,49.0,Neutral,UNKNOWN,0.8244514106583072,167701.139471,167701.139471,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,5,3,30.02094,3,542.1279999999999,70.54,1287.674,3.4999893051107884,0.4,,,,1.0,167731.160411,167731.160411,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,1,0,0.0,0,183.53,183.53,183.53,0.0,1.0,59.0,Greed,GREED,,0.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-15,2,0,0.0,0,23066.935,23066.935,40274.971000000005,2.3999947269522917,1.0,60.0,Greed,GREED,,0.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,27,22,-5564.01614,9,3048.5944444444444,396.77,6344.114000000001,1.1834172404565912,0.14814814814814814,84.0,Extreme Greed,GREED,0.4090909090909091,-5564.01614,0.0,-5564.01614
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,68,21,215.754798,8,902.6417647058823,21.16,3065.0620000000063,4.437217875924275,0.5147058823529411,50.0,Neutral,UNKNOWN,0.38095238095238093,-5348.261342,0.0,-5348.261342
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,146,76,36993.371011,73,2760.099520547945,102.83500000000001,4582.0650000000005,1.004880959209837,0.4383561643835616,74.0,Greed,GREED,0.9605263157894737,31645.109669000005,31645.109669000005,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-20,348,254,-59349.677108,92,1653.2947701149424,692.46,3784.1900000000005,1.0372339594410724,0.1896551724137931,49.0,Neutral,UNKNOWN,0.36220472440944884,-27704.567439,31645.109669000005,-59349.677108
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,198,197,-3499.0325470000002,189,1218.5765151515152,672.405,2039.536000000001,0.9792986055106623,0.04040404040404041,,,,0.9593908629441624,-31203.599985999997,31645.109669000005,-62848.709655
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,144,77,34983.381862,76,4554.800138888889,1286.925,9664.359000000002,1.220343280826251,0.4097222222222222,74.0,Greed,GREED,0.987012987012987,34983.381862,34983.381862,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-20,3443,1688,-18911.520802000003,1100,4801.76060412431,659.38,6009.19,1.00568926867327,0.46093523090328203,49.0,Neutral,UNKNOWN,0.6516587677725119,16071.86106,34983.381862,-18911.520802000003
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,191,79,7612.618288,79,2786.4265445026176,1063.96,5837.25,2.076424979722758,0.5863874345549738,74.0,Greed,GREED,1.0,7612.618288,7612.618288,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-20,138,77,45793.558489,77,4389.978550724638,999.96,9490.698999999997,1.1534337178822158,0.42028985507246375,49.0,Neutral,UNKNOWN,1.0,53406.176777,53406.176777,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,125,27,16102.56859,27,6480.62816,2708.8,14333.500000000005,1.797314024513321,0.144,74.0,Greed,GREED,1.0,16102.56859,16102.56859,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-20,258,63,183403.024142,63,4563.756162790698,1006.26,12791.87400000001,1.2073997174367215,0.32170542635658916,49.0,Neutral,UNKNOWN,1.0,199505.59273200002,199505.59273200002,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,88,0,0.0,0,1136.3127272727272,69.68,5426.495999999997,25.547262678511654,1.0,84.0,Extreme Greed,GREED,,0.0,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,249,237,145563.448374,237,1759.9534939759035,398.24,3888.788,0.9417452867304397,0.012048192771084338,50.0,Neutral,UNKNOWN,1.0,145563.448374,145563.448374,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,43,38,160450.518105,38,6742.71976744186,3993.02,15838.458000000004,3.093043453975163,0.0,74.0,Greed,GREED,1.0,306013.966479,306013.966479,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-20,668,323,107946.653812,323,2771.9308532934133,894.29,7117.3680000000095,1.3742317285985464,0.312874251497006,49.0,Neutral,UNKNOWN,1.0,413960.620291,413960.620291,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,184,0,0.0,0,1374.9489673913042,502.74,2999.25,1.4483425722734615,0.0,,,,,413960.620291,413960.620291,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,3706,1468,69266.305684,1254,494.25018348623854,288.28499999999997,1143.345,3.744073188040438,0.46788990825688076,74.0,Greed,GREED,0.8542234332425068,69266.305684,69266.305684,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-20,4620,2110,32448.903351,1688,541.8800562770563,366.02,1242.432000000002,2.385522596726493,0.4902597402597403,49.0,Neutral,UNKNOWN,0.8,101715.209035,101715.209035,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,179,77,1378.073027,64,368.8205586592179,249.94,749.86,2.2099387979335923,0.37988826815642457,,,,0.8311688311688312,103093.28206200001,103093.28206200001,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,322,140,57667.858125,131,8191.46645962733,2489.0699999999997,19100.0,2.4983191264597293,0.562111801242236,74.0,Greed,GREED,0.9357142857142857,57667.858125,57667.858125,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-20,3761,1907,603091.903294,1859,8887.842377027386,1263.94,19060.32,2.1916383579798224,0.4730124966764159,49.0,Neutral,UNKNOWN,0.9748295752490823,660759.761419,660759.761419,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,218,153,3738.698523,98,11404.08495412844,672.6,38322.73,1.9446563616664174,0.6055045871559633,,,,0.6405228758169934,664498.459942,664498.459942,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,722,256,-8160.960473,220,6237.525747922437,2912.9449999999997,14838.571,3.499955375922704,0.4903047091412742,84.0,Extreme Greed,GREED,0.859375,-8160.960473,-8160.960473,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,1292,490,-26083.891958,429,10254.827647058824,5433.25,24229.740000000023,3.462062954198874,0.5441176470588235,50.0,Neutral,UNKNOWN,0.8755102040816326,-34244.852431,-8160.960473,-26083.891958
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,1690,627,107077.347816,553,19310.393674556213,11657.4,49051.459,3.215089228962491,0.5621301775147929,74.0,Greed,GREED,0.8819776714513556,72832.49538499999,72832.49538499999,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-20,3704,1475,216983.233818,1441,20401.559910907126,9948.855,54202.49400000005,3.022482059021659,0.5661447084233261,49.0,Neutral,UNKNOWN,0.9769491525423729,289815.72920299997,289815.72920299997,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,104,55,7687.978187,52,17362.39278846154,6465.26,46871.5,3.4998929190613426,0.40384615384615385,,,,0.9454545454545454,297503.70739,297503.70739,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,218,0,0.0,0,3239.8509633027525,1973.88,8655.397000000004,0.1803247511647158,1.0,74.0,Greed,GREED,,0.0,0.0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-20,5512,2545,366147.377445,2285,28055.135776487663,2037.895,61300.194000000076,1.83350337906557,0.4619013062409289,49.0,Neutral,UNKNOWN,0.8978388998035364,366147.377445,366147.377445,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,5820,2592,418405.247653,2319,41549.41846391753,4800.18,98597.7760000001,1.9273033787056233,0.5580756013745705,,,,0.8946759259259259,784552.625098,784552.625098,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,250,250,101539.274031,250,525.47136,332.115,897.7909999999999,3.3399790848738236,0.0,74.0,Greed,GREED,1.0,101539.274031,101539.274031,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-20,571,159,6979.340871,154,892.4563397548161,428.02,2485.19,1.8446484965223715,0.6042031523642732,49.0,Neutral,UNKNOWN,0.9685534591194969,108518.614902,108518.614902,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,153,17,212.60187,17,568.6079738562091,353.27,1098.9780000000014,3.359864517141956,0.1111111111111111,,,,1.0,108731.216772,108731.216772,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,202,104,327545.999992,104,16311.138465346536,8048.0,39845.49000000001,0.999993604487304,0.5148514851485149,74.0,Greed,GREED,1.0,327545.999992,327545.999992,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-20,928,478,98269.195073,410,8079.287737068965,994.635,15404.243000000006,1.0775333224345387,0.31896551724137934,49.0,Neutral,UNKNOWN,0.8577405857740585,425815.195065,425815.195065,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,455,154,3319.2070900000003,35,1383.9995384615386,606.32,2996.88,1.2032827085791318,0.42857142857142855,,,,0.22727272727272727,429134.402155,429134.402155,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,412,12,51737.579418,12,2341.046262135922,269.7,8131.030000000025,0.9599124816046776,0.02669902912621359,74.0,Greed,GREED,1.0,51737.579418,51737.579418,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-20,938,479,335624.833906,371,2105.7542963752667,547.52,4903.523000000006,0.9544914803932596,0.6108742004264393,49.0,Neutral,UNKNOWN,0.7745302713987474,387362.413324,387362.413324,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,72,72,9328.49,54,1269.3402777777778,594.865,3174.0019999999995,0.9599348069184325,0.75,,,,0.75,396690.903324,396690.903324,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,3037,2611,187675.00164,2503,3679.985097135331,814.82,9725.384000000004,0.6166514394149372,0.4629568653276259,84.0,Extreme Greed,GREED,0.9586365377250096,187675.00164,187675.00164,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,6,3,0.16271999999999998,1,34.916666666666664,44.765,48.72,2.5597822917170636,0.5,50.0,Neutral,UNKNOWN,0.3333333333333333,187675.16436,187675.16436,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,1014,892,37505.215147,833,2058.5611932938855,313.14,3755.6510000000067,1.4876572339944771,0.5374753451676528,74.0,Greed,GREED,0.9338565022421524,225180.379507,225180.379507,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-20,4874,4266,136102.189719,3892,2333.5756955272877,500.08,4401.6269999999995,1.8395039658492145,0.47517439474764056,49.0,Neutral,UNKNOWN,0.9123300515705579,361282.569226,361282.569226,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,943,872,17411.993593,778,1134.947624602333,151.01,2053.326000000001,2.2574098698144964,0.689289501590668,,,,0.8922018348623854,378694.562819,378694.562819,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-20,1554,742,14781.443047,701,3643.361287001287,588.415,7272.503000000005,1.2007322187673144,0.4420849420849421,49.0,Neutral,UNKNOWN,0.944743935309973,14781.443047,14781.443047,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,5,4,119.0,4,36540.202000000005,22822.75,73334.62000000001,0.49999569445817027,0.8,,,,1.0,14900.443047,14900.443047,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,15,0,0.0,0,2333.2533333333336,1697.22,4999.784000000001,0.03641504867641534,1.0,74.0,Greed,GREED,,0.0,0.0,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-20,3055,1072,196303.478042,878,2250.4634795417346,501.97,4990.904,1.1820243476887036,0.3204582651391162,49.0,Neutral,UNKNOWN,0.8190298507462687,196303.478042,196303.478042,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,1524,1263,-353990.060138,882,2099.8644225721782,664.735,4996.636,1.5892152677907805,0.8287401574803149,,,,0.6983372921615202,-157686.582096,196303.478042,-353990.060138
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,53,7,11.717676000000012,2,947.7837735849057,580.94,2200.834,1.144683592028055,0.8679245283018868,74.0,Greed,GREED,0.2857142857142857,11.717676000000012,11.717676000000012,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-20,1753,672,64318.284415,597,6437.586257843697,1211.73,8624.823999999997,1.6107677100662299,0.5944095835710211,49.0,Neutral,UNKNOWN,0.8883928571428571,64330.002091,64330.002091,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,54,18,991.770272,16,5880.501481481482,467.08,4081.16,1.4174820705514977,0.6666666666666666,,,,0.8888888888888888,65321.772363000004,65321.772363000004,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,3806,1670,-9125.157325,1240,772.9984524435102,505.175,1887.87,2.8752211007320136,0.4482396216500263,50.0,Neutral,UNKNOWN,0.7425149700598802,-9125.157325,-9125.157325,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,1799,658,39978.37791,585,1380.017626459144,940.44,2752.722,3.3705405768985033,0.34741523068371316,74.0,Greed,GREED,0.8890577507598785,30853.220585000003,30853.220585000003,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-20,5599,2049,46245.686611,1721,658.4628880157171,376.46,1376.7919999999965,3.259726476996133,0.43793534559742814,49.0,Neutral,UNKNOWN,0.8399219131283553,77098.907196,77098.907196,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,3779,2180,-33193.928504,381,843.753879333157,554.13,2021.0400000000002,2.3977944130987003,0.5766075681397195,,,,0.17477064220183486,43904.978692,77098.907196,-33193.928504
