timestamp,date,value,classification,
1517463000,43102.00 ,30,Fear,#N/A
1517549400,43133.00 ,15,Extreme Fear,#N/A
1517635800,43161.00 ,40,Fear,#N/A
1517722200,43192.00 ,24,Extreme Fear,#N/A
1517808600,43222.00 ,11,Extreme Fear,#N/A
1517895000,43253.00 ,8,Extreme Fear,#N/A
1517981400,43283.00 ,36,Fear,#N/A
1518067800,43314.00 ,30,Fear,#N/A
1518154200,43345.00 ,44,Fear,#N/A
1518240600,43375.00 ,54,Neutral,#N/A
1518327000,43406.00 ,31,Fear,#N/A
1518413400,43436.00 ,42,Fear,#N/A
1518499800,43144.00 ,35,Fear,#N/A
1518586200,43145.00 ,55,Greed,#N/A
1518672600,43146.00 ,71,Greed,#N/A
1518759000,43147.00 ,67,Greed,#N/A
1518845400,43148.00 ,74,Greed,#N/A
1518931800,43149.00 ,63,Greed,#N/A
1519018200,43150.00 ,67,Greed,#N/A
1519104600,43151.00 ,74,Greed,#N/A
1519191000,43152.00 ,54,Neutral,#N/A
1519277400,43153.00 ,44,Fear,#N/A
1519363800,43154.00 ,39,Fear,#N/A
1519450200,43155.00 ,31,Fear,#N/A
1519536600,43156.00 ,33,Fear,#N/A
1519623000,43157.00 ,37,Fear,#N/A
1519709400,43158.00 ,44,Fear,#N/A
1519795800,43159.00 ,41,Fear,#N/A
1519882200,43103.00 ,38,Fear,#N/A
1519968600,43134.00 ,47,Neutral,#N/A
1520055000,43162.00 ,56,Greed,#N/A
1520141400,43193.00 ,44,Fear,#N/A
1520227800,43223.00 ,55,Greed,#N/A
1520314200,43254.00 ,59,Greed,#N/A
1520400600,43284.00 ,37,Fear,#N/A
1520487000,43315.00 ,39,Fear,#N/A
1520573400,43346.00 ,37,Fear,#N/A
1520659800,43376.00 ,39,Fear,#N/A
1520746200,43407.00 ,40,Fear,#N/A
1520832600,43437.00 ,41,Fear,#N/A
1520919000,43172.00 ,41,Fear,#N/A
1521005400,43173.00 ,40,Fear,#N/A
1521091800,43174.00 ,32,Fear,#N/A
1521178200,43175.00 ,33,Fear,#N/A
1521264600,43176.00 ,31,Fear,#N/A
1521351000,43177.00 ,29,Fear,#N/A
1521437400,43178.00 ,29,Fear,#N/A
1521523800,43179.00 ,37,Fear,#N/A
1521610200,43180.00 ,36,Fear,#N/A
1521696600,43181.00 ,36,Fear,#N/A
1521783000,43182.00 ,28,Fear,#N/A
1521869400,43183.00 ,32,Fear,#N/A
1521955800,43184.00 ,30,Fear,#N/A
1522042200,43185.00 ,31,Fear,#N/A
1522128600,43186.00 ,24,Extreme Fear,#N/A
1522215000,43187.00 ,24,Extreme Fear,#N/A
1522301400,43188.00 ,18,Extreme Fear,#N/A
1522387800,43189.00 ,12,Extreme Fear,#N/A
1522474200,43190.00 ,16,Extreme Fear,#N/A
1522560600,43104.00 ,16,Extreme Fear,#N/A
1522647000,43135.00 ,11,Extreme Fear,#N/A
1522733400,43163.00 ,22,Extreme Fear,#N/A
1522819800,43194.00 ,22,Extreme Fear,#N/A
1522906200,43224.00 ,17,Extreme Fear,#N/A
1522992600,43255.00 ,19,Extreme Fear,#N/A
1523079000,43285.00 ,20,Extreme Fear,#N/A
1523165400,43316.00 ,17,Extreme Fear,#N/A
1523251800,43347.00 ,21,Extreme Fear,#N/A
1523338200,43377.00 ,18,Extreme Fear,#N/A
1523424600,43408.00 ,20,Extreme Fear,#N/A
1523511000,43438.00 ,18,Extreme Fear,#N/A
1523597400,43203.00 ,23,Extreme Fear,#N/A
1523943000,43207.00 ,26,Fear,#N/A
1524029400,43208.00 ,24,Extreme Fear,#N/A
1524115800,43209.00 ,25,Fear,#N/A
1524202200,43210.00 ,26,Fear,#N/A
1524288600,43211.00 ,32,Fear,#N/A
1524375000,43212.00 ,31,Fear,#N/A
1524461400,43213.00 ,28,Fear,#N/A
1524547800,43214.00 ,29,Fear,#N/A
1524634200,43215.00 ,64,Greed,#N/A
1524720600,43216.00 ,47,Neutral,#N/A
1524807000,43217.00 ,55,Greed,#N/A
1524893400,43218.00 ,54,Neutral,#N/A
1524979800,43219.00 ,61,Greed,#N/A
1525066200,43220.00 ,59,Greed,#N/A
1525152600,43105.00 ,56,Greed,#N/A
1525239000,43136.00 ,52,Neutral,#N/A
1525325400,43164.00 ,55,Greed,#N/A
1525411800,43195.00 ,56,Greed,#N/A
1525498200,43225.00 ,63,Greed,#N/A
1525584600,43256.00 ,67,Greed,#N/A
1525671000,43286.00 ,56,Greed,#N/A
1525757400,43317.00 ,62,Greed,#N/A
1525843800,43348.00 ,53,Neutral,#N/A
1525930200,43378.00 ,63,Greed,#N/A
1526016600,43409.00 ,41,Fear,#N/A
1526103000,43439.00 ,44,Fear,#N/A
1526189400,43233.00 ,40,Fear,#N/A
1526275800,43234.00 ,40,Fear,#N/A
1526362200,43235.00 ,40,Fear,#N/A
1526448600,43236.00 ,32,Fear,#N/A
1526535000,43237.00 ,31,Fear,#N/A
1526621400,43238.00 ,37,Fear,#N/A
1526707800,43239.00 ,31,Fear,#N/A
1526794200,43240.00 ,32,Fear,#N/A
1526880600,43241.00 ,41,Fear,#N/A
1526967000,43242.00 ,30,Fear,#N/A
1527053400,43243.00 ,26,Fear,#N/A
1527139800,43244.00 ,27,Fear,#N/A
1527226200,43245.00 ,25,Fear,#N/A
1527312600,43246.00 ,23,Extreme Fear,#N/A
1527399000,43247.00 ,19,Extreme Fear,#N/A
1527485400,43248.00 ,22,Extreme Fear,#N/A
1527571800,43249.00 ,16,Extreme Fear,#N/A
1527658200,43250.00 ,38,Fear,#N/A
1527744600,43251.00 ,25,Fear,#N/A
1527831000,43106.00 ,24,Extreme Fear,#N/A
1527917400,43137.00 ,27,Fear,#N/A
1528003800,43165.00 ,40,Fear,#N/A
1528090200,43196.00 ,41,Fear,#N/A
1528176600,43226.00 ,26,Fear,#N/A
